"id","cs","alt","choice","none","batteryL","weightL","priceL","soundL","battery_8h","battery_10h","battery_12h","battery_14h","weight_400g","weight_500g","weight_600g","price_70e","price_90e","price_110e","price_130e","sound_3.5s","sound_4s","sound_4.5s"
1627,9,1,1,0,14,500,110,4,0,0,0,1,0,1,0,0,0,1,0,0,1,0
1627,9,2,0,0,10,600,150,4,0,1,0,0,0,0,1,-1,-1,-1,-1,0,1,0
1627,9,3,0,0,8,400,150,4.5,1,0,0,0,1,0,0,-1,-1,-1,-1,0,0,1
1627,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1627,10,1,0,0,8,700,130,3.5,1,0,0,0,-1,-1,-1,0,0,0,1,1,0,0
1627,10,2,0,0,12,600,90,4,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1627,10,3,1,0,16,500,110,4.5,-1,-1,-1,-1,0,1,0,0,0,1,0,0,0,1
1627,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1627,11,1,0,0,12,400,130,4,0,0,1,0,1,0,0,0,0,0,1,0,1,0
1627,11,2,0,0,14,700,150,5,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1627,11,3,1,0,12,500,70,4.5,0,0,1,0,0,1,0,1,0,0,0,0,0,1
1627,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1627,12,1,0,0,14,600,110,3.5,0,0,0,1,0,0,1,0,0,1,0,1,0,0
1627,12,2,1,0,16,400,90,4.5,-1,-1,-1,-1,1,0,0,0,1,0,0,0,0,1
1627,12,3,0,0,10,400,70,3.5,0,1,0,0,1,0,0,1,0,0,0,1,0,0
1627,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1632,1,1,0,0,8,500,150,4,1,0,0,0,0,1,0,-1,-1,-1,-1,0,1,0
1632,1,2,1,0,10,400,150,5,0,1,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1
1632,1,3,0,0,10,700,130,3.5,0,1,0,0,-1,-1,-1,0,0,0,1,1,0,0
1632,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1632,2,1,0,0,12,400,110,3.5,0,0,1,0,1,0,0,0,0,1,0,1,0,0
1632,2,2,1,0,16,500,130,4.5,-1,-1,-1,-1,0,1,0,0,0,0,1,0,0,1
1632,2,3,0,0,14,700,70,4.5,0,0,0,1,-1,-1,-1,1,0,0,0,0,0,1
1632,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1632,3,1,1,0,16,700,150,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0
1632,3,2,0,0,8,600,110,4.5,1,0,0,0,0,0,1,0,0,1,0,0,0,1
1632,3,3,0,0,10,600,90,5,0,1,0,0,0,0,1,0,1,0,0,-1,-1,-1
1632,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1632,4,1,0,0,16,600,70,3.5,-1,-1,-1,-1,0,0,1,1,0,0,0,1,0,0
1632,4,2,1,0,12,400,150,4,0,0,1,0,1,0,0,-1,-1,-1,-1,0,1,0
1632,4,3,0,0,8,500,90,3.5,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1632,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1632,5,1,0,0,8,700,130,4.5,1,0,0,0,-1,-1,-1,0,0,0,1,0,0,1
1632,5,2,0,0,12,400,70,5,0,0,1,0,1,0,0,1,0,0,0,-1,-1,-1
1632,5,3,1,0,14,500,130,5,0,0,0,1,0,1,0,0,0,0,1,-1,-1,-1
1632,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1632,6,1,1,0,16,400,90,4,-1,-1,-1,-1,1,0,0,0,1,0,0,0,1,0
1632,6,2,0,0,10,500,110,5,0,1,0,0,0,1,0,0,0,1,0,-1,-1,-1
1632,6,3,0,0,14,600,150,4,0,0,0,1,0,0,1,-1,-1,-1,-1,0,1,0
1632,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1632,7,1,1,0,16,400,110,4.5,-1,-1,-1,-1,1,0,0,0,0,1,0,0,0,1
1632,7,2,0,0,14,600,90,3.5,0,0,0,1,0,0,1,0,1,0,0,1,0,0
1632,7,3,0,0,10,700,70,4.5,0,1,0,0,-1,-1,-1,1,0,0,0,0,0,1
1632,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1632,8,1,0,0,10,400,70,4,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1632,8,2,0,0,8,500,150,3.5,1,0,0,0,0,1,0,-1,-1,-1,-1,1,0,0
1632,8,3,1,0,12,600,130,5,0,0,1,0,0,0,1,0,0,0,1,-1,-1,-1
1632,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1632,9,1,0,0,12,600,90,4,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1632,9,2,1,0,12,500,110,4.5,0,0,1,0,0,1,0,0,0,1,0,0,0,1
